ID,Dimension,Section,SectionName,Question,Score (0-4 or NA),Evidence Link / Note
A1,Process,A,Test Strategy & Planning,"Is there a documented test strategy per product/service, reviewed at least yearly?",,
A2,Process,A,Test Strategy & Planning,"Is test scope/depth explicitly risk-based (tiered), rather than uniform across all features?",,
A3,Process,A,Test Strategy & Planning,"Are non-functional requirements (perf, security, a11y) captured at planning time, not discovered late?",,
A4,Process,A,Test Strategy & Planning,"Is testability considered during requirements/design review (shift-left)?",,
A5,Process,A,Test Strategy & Planning,"Are test estimates/effort tracked against actuals to improve future planning?",,
A6,Process,A,Test Strategy & Planning,"Is there a defined process for scoping regression impact when a change is made?",,
A7,Process,A,Test Strategy & Planning,"Are non-functional requirements captured as quantified, testable thresholds rather than qualitative statements (""should be fast"")?",,
A8,Process,A,Test Strategy & Planning,"Is there a defined approval matrix specifying which stakeholders must sign off which test artefacts?",,
B1,Process,B,Test Design & Documentation,"Are test cases derived from documented, traceable requirements/acceptance criteria?",,
B2,Process,B,Test Design & Documentation,"Is there a living test case repository organised by module/component with a consistent naming and tagging scheme?",,
B3,Process,B,Test Design & Documentation,"Are test design techniques (equivalence partitioning, boundary value, state transition, etc.) applied deliberately for complex logic?",,
B4,Process,B,Test Design & Documentation,"Is requirements-to-test traceability tracked and reportable, generated from the tool rather than hand-maintained?",,
B5,Process,B,Test Design & Documentation,"Are test cases reviewed by a peer before being trusted as regression coverage?",,
B6,Process,B,Test Design & Documentation,"Is test case priority risk-based (P0-P3), driven by business criticality, defect hotspots, and usage data?",,
B7,Process,B,Test Design & Documentation,"Is there a scheduled test case health audit (staleness, duplication, re-prioritisation)?",,
B8,Process,B,Test Design & Documentation,"Can traceability be navigated in both directions - story to defect and defect to story?",,
B9,Process,B,Test Design & Documentation,"Is there a reuse-first rule enforced before authoring new test cases (Master Test Pack)?",,
C1,Process,C,Test Execution & Reporting,"Is test execution status visible on a live dashboard (not a manually compiled status email)?",,
C2,Process,C,Test Execution & Reporting,"Are entry/exit criteria enforced, not just documented?",,
C3,Process,C,Test Execution & Reporting,"Is defect triage a scheduled, cross-functional ritual?",,
C4,Process,C,Test Execution & Reporting,"Are release sign-off decisions based on objective exit-criteria data?",,
C5,Process,C,Test Execution & Reporting,"Is there a retrospective after every release/major defect escape to capture lessons?",,
C6,Process,C,Test Execution & Reporting,"Are sprint-package and release-package sign-offs documented records (named approver, role, date, version, conditions)?",,
D1,Coverage,D,Levels & Types of Testing Coverage,"Unit testing - minimum expectation met per Testing-Types-Standards.md?",,
D2,Coverage,D,Levels & Types of Testing Coverage,"Component/Integration testing - minimum expectation met?",,
D3,Coverage,D,Levels & Types of Testing Coverage,"API testing - minimum expectation met?",,
D4,Coverage,D,Levels & Types of Testing Coverage,"System/End-to-End testing - minimum expectation met?",,
D5,Coverage,D,Levels & Types of Testing Coverage,"Regression testing - minimum expectation met?",,
D6,Coverage,D,Levels & Types of Testing Coverage,"Performance testing - minimum expectation met?",,
D7,Coverage,D,Levels & Types of Testing Coverage,"Security (SAST/DAST/SCA) testing - minimum expectation met?",,
D8,Coverage,D,Levels & Types of Testing Coverage,"Accessibility testing - minimum expectation met?",,
D9,Coverage,D,Levels & Types of Testing Coverage,"Usability/UAT - minimum expectation met?",,
D10,Coverage,D,Levels & Types of Testing Coverage,"Exploratory testing - minimum expectation met?",,
D11,Coverage,D,Levels & Types of Testing Coverage,"Contract testing - minimum expectation met?",,
D12,Coverage,D,Levels & Types of Testing Coverage,"Chaos/Resilience testing - minimum expectation met?",,
D13,Coverage,D,Levels & Types of Testing Coverage,"Data/ETL testing - minimum expectation met?",,
D14,Coverage,D,Levels & Types of Testing Coverage,"Mobile (device/OS matrix) testing - minimum expectation met?",,
D15,Coverage,D,Levels & Types of Testing Coverage,"Compatibility (browser/OS) testing - minimum expectation met?",,
D16,Coverage,D,Levels & Types of Testing Coverage,"Localization testing - minimum expectation met?",,
D17,Coverage,D,Levels & Types of Testing Coverage,"Visual Regression testing - minimum expectation met?",,
E1,Process,E,Defect & Quality Management,"Is there a single defect-tracking source of truth used consistently?",,
E2,Process,E,Defect & Quality Management,"Does defect handling distinguish discovery stage (in-sprint / later-sprint / UAT / production)?",,
E3,Process,E,Defect & Quality Management,"Are severity and priority tracked as two distinct axes with clear owners?",,
E4,Process,E,Defect & Quality Management,"Is there an expedited hotfix path for production-Critical defects?",,
E5,Process,E,Defect & Quality Management,"Are defects root-caused, with recurring patterns analysed?",,
E6,Process,E,Defect & Quality Management,"Is escaped-defect analysis fed back into test design with a concrete resulting change?",,
E7,Process,E,Defect & Quality Management,"Are defect SLAs (by severity) defined and tracked?",,
E8,Process,E,Defect & Quality Management,"Are non-functional defects classified on their domain-specific scale and routed correctly, with security findings access-restricted?",,
E9,Process,E,Defect & Quality Management,"Are known issues risk-accepted for release added to the product backlog and reviewed on a defined cadence?",,
F1,Process,F,Test Environment & Data Management,"Are test environments provisioned via self-service/IaC rather than manual ticketing?",,
F2,Process,F,Test Environment & Data Management,"Is environment-to-production parity tracked and drift alerted?",,
F3,Process,F,Test Environment & Data Management,"Is there a dedicated performance environment with a documented prod-parity/scaling-extrapolation model?",,
F4,Process,F,Test Environment & Data Management,"Does recurring environment instability trigger a formal root-cause investigation?",,
F5,Process,F,Test Environment & Data Management,"Is test data synthetic/masked with no raw PII in non-prod, and is masking validated by an automated scan on every refresh?",,
F6,Process,F,Test Environment & Data Management,"Is sanitized production data refreshed into non-prod on a defined, followed cadence?",,
F7,Process,F,Test Environment & Data Management,"Is test data refresh/reset self-service and fast enough to not block testers?",,
G1,Automation & Tooling,G,Test Automation - Capability,"Is there a standardised automation framework (not ad hoc per-engineer style)?",,
G2,Automation & Tooling,G,Test Automation - Capability,"Is automated test code version-controlled and code-reviewed like production code?",,
G3,Automation & Tooling,G,Test Automation - Capability,"Is flaky-test management a full lifecycle (detect -> quarantine -> SLA root-cause -> re-admission)?",,
G4,Automation & Tooling,G,Test Automation - Capability,"Is the automation pyramid respected (majority unit/API, thin E2E layer)?",,
G5,Automation & Tooling,G,Test Automation - Capability,"Is there a documented, agreed set of criteria for what must be automated in-sprint vs. deferred?",,
H1,Automation & Tooling,H,Test Automation - Capacity & CI/CD,"Does automation run on every PR/commit?",,
H2,Automation & Tooling,H,Test Automation - Capacity & CI/CD,"Can the automated suite gate a merge/deploy?",,
H3,Automation & Tooling,H,Test Automation - Capacity & CI/CD,"Is execution parallelised/distributed to keep feedback time short?",,
H4,Automation & Tooling,H,Test Automation - Capacity & CI/CD,"Is there dedicated capacity (SDET role/time) for automation maintenance?",,
H5,Automation & Tooling,H,Test Automation - Capacity & CI/CD,"Is in-sprint automation the default target, with deviation tracked as prioritised technical debt?",,
H6,Automation & Tooling,H,Test Automation - Capacity & CI/CD,"Is there protected sprint/PI capacity (10-20%) for automation maintenance/upskilling, with delivery tracked?",,
H7,Automation & Tooling,H,Test Automation - Capacity & CI/CD,"Does each suite tier run at a defined frequency/environment/pipeline stage, with health judged from a stable environment?",,
I1,Automation & Tooling,I,Tooling,"Is the team's tool stack within the org's approved categories?",,
I2,Automation & Tooling,I,Tooling,"Is tooling choice justified by need rather than individual preference/legacy inertia?",,
